Gene	Cytoband	(A) Negative	(B) Positive	(A) Negative	(B) Positive	Log2 Ratio	p-Value	q-Value	Higher expression in
EFCC1	3q21.3	1.84	3.95	1.19	1.25	-2.11	1.04e-39	2.93e-37	(B) Positive
GATA3	10p14	-1.12	1.93	1.71	1.10	-3.05	1.15e-39	3.20e-37	(B) Positive
FGD3	9q22.31	0.54	2.08	0.86	1.13	-1.54	1.67e-39	4.56e-37	(B) Positive
RABEP1	17p13.2	-0.09	1.09	0.67	0.82	-1.18	2.62e-39	7.05e-37	(B) Positive
ANKRA2	5q13.2	-0.51	0.43	0.54	0.53	-0.94	2.78e-39	7.35e-37	(B) Positive
PSAT1	9q21.2	-2.08	-4.99	1.67	1.27	2.91	4.95e-39	1.29e-36	(A) Negative
IGFALS	16p13.3	-0.13	1.99	1.21	1.44	-2.11	6.88e-39	1.77e-36	(B) Positive
UGCG	9q31.3	-0.19	1.47	0.95	1.16	-1.66	1.33e-38	3.36e-36	(B) Positive
KIF12	9q32	0.58	2.50	1.10	1.38	-1.92	1.77e-38	4.42e-36	(B) Positive
PROM1	4p15.32	3.19	-0.28	1.99	2.40	3.47	2.09e-38	5.14e-36	(A) Negative
VGLL1	Xq26.3	3.07	0.70	1.37	0.91	2.36	2.19e-38	5.30e-36	(A) Negative
B3GNT5	3q27.1	1.87	-0.56	1.41	0.98	2.44	2.40e-38	5.73e-36	(A) Negative
SUSD3	9q22.31	0.12	2.68	1.48	1.64	-2.55	2.91e-38	6.86e-36	(B) Positive
KCNK15	20q13.12	-0.42	0.93	0.78	0.94	-1.35	3.45e-38	8.01e-36	(B) Positive
CDCA7	2q31.1	-1.90	-3.91	1.17	1.15	2.00	3.56e-38	8.16e-36	(A) Negative
LAD1	1q32.1	1.97	0.61	0.75	1.21	1.36	8.07e-38	1.82e-35	(A) Negative
SLC7A8	14q11.2	0.19	1.99	1.06	0.90	-1.80	8.35e-38	1.86e-35	(B) Positive
PADI2	1p36.13	3.04	1.46	0.93	0.87	1.58	8.46e-38	1.87e-35	(A) Negative
NOVA1	14q12	-0.99	0.40	0.69	1.48	-1.39	9.36e-38	2.04e-35	(B) Positive
PGR	11q22.1	-1.98	0.93	1.68	2.23	-2.91	9.51e-38	2.04e-35	(B) Positive
DCDC1	11p14.1	0.60	1.79	0.65	1.06	-1.18	1.06e-37	2.24e-35	(B) Positive
COX6C	8q22.2	0.03	1.53	0.79	1.47	-1.50	1.15e-37	2.42e-35	(B) Positive
TCEAL6	Xq22.1	0.22	1.40	0.68	0.90	-1.18	1.32e-37	2.74e-35	(B) Positive
RAB30	11q14.1	-0.42	0.95	0.77	1.19	-1.37	1.65e-37	3.37e-35	(B) Positive
ZMYND10	3p21.31	0.35	2.45	1.25	1.05	-2.10	1.81e-37	3.65e-35	(B) Positive
NEK10	3p24.1	-0.31	1.81	1.22	1.72	-2.12	2.20e-37	4.40e-35	(B) Positive
MLPH	2q37.3	-1.38	1.47	1.69	1.01	-2.86	3.40e-37	6.71e-35	(B) Positive
UBE2E3	2q31.3	-0.28	-1.59	0.76	1.07	1.31	7.89e-37	1.54e-34	(A) Negative
RETREG1	5p15.1	0.27	2.30	1.21	1.38	-2.03	9.49e-37	1.83e-34	(B) Positive
SIAH2	3q25.1	-0.16	0.89	0.61	0.89	-1.05	1.08e-36	2.06e-34	(B) Positive
STK32B	4p16.2	-0.92	0.40	0.76	1.16	-1.32	1.36e-36	2.57e-34	(B) Positive
ATOSA	15q21.2-q21.3	-0.07	1.46	0.92	0.86	-1.53	1.39e-36	2.59e-34	(B) Positive
TCEAL3	Xq22.2	0.25	1.42	0.70	0.90	-1.18	2.57e-36	4.75e-34	(B) Positive
MACIR	5q21.1	-0.48	1.09	0.95	0.85	-1.56	2.60e-36	4.75e-34	(B) Positive
CYB5D2	17p13.2	-0.28	0.75	0.62	0.71	-1.03	2.66e-36	4.81e-34	(B) Positive
ERBB4	2q34	-0.09	2.71	1.70	1.39	-2.80	2.86e-36	5.13e-34	(B) Positive
SLC27A2	15q21.2	-2.94	-1.04	1.08	1.73	-1.90	3.21e-36	5.68e-34	(B) Positive
PPP1R14C	6q25.1	1.13	-2.30	2.09	1.46	3.43	3.30e-36	5.78e-34	(A) Negative
CSAD	12q13.13	-0.96	0.19	0.68	0.88	-1.15	3.34e-36	5.81e-34	(B) Positive
GASK1B	4q32.1	1.30	3.15	1.12	1.22	-1.84	3.80e-36	6.54e-34	(B) Positive
P4HTM	3p21.31	-0.34	1.04	0.84	0.68	-1.38	3.88e-36	6.60e-34	(B) Positive
SMCO4	11q21	1.01	0.11	0.55	0.58	0.91	4.47e-36	7.53e-34	(A) Negative
NOSTRIN	2q24.3	-0.35	1.12	0.90	0.99	-1.48	5.30e-36	8.84e-34	(B) Positive
FAM161B	14q24.3	-0.12	0.82	0.56	0.79	-0.94	6.70e-36	1.11e-33	(B) Positive
SYTL4	Xq22.1	-0.44	1.14	0.97	1.04	-1.58	9.56e-36	1.57e-33	(B) Positive
BTF3	5q13.2	-0.81	-0.06	0.46	0.48	-0.75	1.25e-35	2.02e-33	(B) Positive
PDZK1	1q21.1	-3.48	-0.72	1.60	2.52	-2.76	1.27e-35	2.03e-33	(B) Positive
PTPRN2	7q36.3	-2.00	-0.60	0.72	1.57	-1.40	2.04e-35	3.25e-33	(B) Positive
LRP8	1p32.3	-1.11	-2.77	1.03	1.07	1.66	2.97e-35	4.68e-33	(A) Negative
GAMT	19p13.3	-1.77	0.00	1.11	0.98	-1.78	5.30e-35	8.29e-33	(B) Positive
LRRC46	17q21.32	0.28	1.61	0.83	0.87	-1.33	5.45e-35	8.44e-33	(B) Positive
KLHDC1	14q21.3	0.33	1.31	0.60	0.73	-0.98	6.62e-35	1.02e-32	(B) Positive
ZNF552	19q13.43	1.32	2.99	1.05	0.93	-1.67	7.12e-35	1.08e-32	(B) Positive
PREX1	20q13.13	-0.07	1.65	1.08	1.16	-1.72	7.83e-35	1.18e-32	(B) Positive
BBS1	11q13.2	0.33	1.18	0.53	0.52	-0.85	8.92e-35	1.33e-32	(B) Positive
RUNDC1	17q21.31	0.27	1.26	0.62	0.64	-0.99	1.28e-34	1.89e-32	(B) Positive
MAG	19q13.1	-0.92	0.13	0.62	0.98	-1.05	1.51e-34	2.22e-32	(B) Positive
ABTB2	11p13	0.24	-1.15	0.88	0.85	1.39	1.73e-34	2.52e-32	(A) Negative
SLC4A8	12q13.13	-0.78	0.60	0.86	1.07	-1.38	1.84e-34	2.66e-32	(B) Positive
TMEM26	10q21.2	-0.64	1.00	0.93	1.70	-1.64	2.42e-34	3.47e-32	(B) Positive
STH	17q21.31	-0.48	1.11	0.99	1.26	-1.59	3.35e-34	4.76e-32	(B) Positive
DNALI1	1p34.3	1.03	3.96	1.87	1.29	-2.93	3.59e-34	5.06e-32	(B) Positive
PRKX	Xp22.33	1.08	-0.35	0.91	0.84	1.43	4.51e-34	6.30e-32	(A) Negative
AGTR1	3q24	1.01	3.20	1.24	2.30	-2.19	5.00e-34	6.93e-32	(B) Positive
AGR2	7p21.1	-1.68	2.50	2.67	1.59	-4.17	5.30e-34	7.29e-32	(B) Positive
MSL3	Xp22.2	0.80	0.04	0.49	0.43	0.76	8.52e-34	1.16e-31	(A) Negative
RIMS4	20q13.12	-0.58	0.92	0.94	1.23	-1.51	9.10e-34	1.23e-31	(B) Positive
TLE3	15q23	0.45	1.17	0.46	0.45	-0.72	1.36e-33	1.82e-31	(B) Positive
TMEM25	11q23.3	1.29	2.47	0.77	0.73	-1.19	1.55e-33	2.06e-31	(B) Positive
PGLYRP2	19p13.12	-0.25	1.68	1.21	1.59	-1.93	1.63e-33	2.15e-31	(B) Positive
INPP4B	4q31.21	-1.30	0.80	1.37	1.06	-2.10	3.37e-33	4.42e-31	(B) Positive
ABLIM3	5q32	-1.40	0.05	0.94	1.01	-1.45	3.98e-33	5.19e-31	(B) Positive
BCAS4	20q13.13	0.07	1.22	0.74	0.80	-1.15	4.21e-33	5.44e-31	(B) Positive
GP2	16p12.3	0.63	3.26	1.71	1.74	-2.63	4.28e-33	5.49e-31	(B) Positive
USP6NL	10p14	0.95	-0.16	0.73	0.57	1.11	5.07e-33	6.45e-31	(A) Negative
CDC20	1p34.2	-0.64	-1.89	0.81	0.80	1.24	5.17e-33	6.54e-31	(A) Negative
SLC19A2	1q24.2	-0.51	0.84	0.87	0.99	-1.35	5.35e-33	6.71e-31	(B) Positive
FBP1	9q22.32	-0.29	1.94	1.47	1.06	-2.24	5.56e-33	6.93e-31	(B) Positive
IFRD1	7q31.1	-0.47	-1.80	0.87	0.63	1.33	7.01e-33	8.67e-31	(A) Negative
CHRD	3q27.1	-0.08	0.87	0.59	0.85	-0.94	1.04e-32	1.27e-30	(B) Positive
TUBA3D	2q21.1	-0.41	0.33	0.42	0.83	-0.74	1.19e-32	1.45e-30	(B) Positive
CHAD	17q21.33	0.68	1.93	0.81	1.03	-1.26	1.30e-32	1.58e-30	(B) Positive
TPRG1	3q28	2.44	4.95	1.63	1.95	-2.51	1.40e-32	1.69e-30	(B) Positive
INPP5J	22q12.2	0.35	1.88	1.01	0.90	-1.53	1.45e-32	1.73e-30	(B) Positive
POTEB	15q11.2	-2.07	0.62	1.77	1.91	-2.70	1.60e-32	1.89e-30	(B) Positive
WFS1	4p16.1	0.30	1.42	0.74	0.63	-1.11	1.64e-32	1.93e-30	(B) Positive
KCNN4	19q13.31	1.44	-0.56	1.33	1.14	1.99	1.98e-32	2.32e-30	(A) Negative
KCNJ11	11p15.1	0.36	1.57	0.80	0.83	-1.21	2.02e-32	2.34e-30	(B) Positive
APBB2	4p14-p13	0.38	1.49	0.74	0.72	-1.11	2.75e-32	3.17e-30	(B) Positive
AMER1	Xq11.2	0.77	-0.41	0.79	0.61	1.18	2.91e-32	3.33e-30	(A) Negative
DRC3	17p11.2	0.85	2.48	1.08	1.15	-1.63	3.34e-32	3.80e-30	(B) Positive
PLCH1	3q25.31	1.31	-0.10	0.93	1.13	1.42	3.61e-32	4.08e-30	(A) Negative
TTK	6q14.1	-0.69	-2.15	0.97	0.96	1.46	4.09e-32	4.60e-30	(A) Negative
YBX1	1p34.2	-0.57	-1.57	0.67	0.57	1.00	4.15e-32	4.63e-30	(A) Negative
KIF2C	1p34.1	-1.17	-2.43	0.83	0.95	1.26	4.50e-32	4.99e-30	(A) Negative
MTHFD1L	6q25.1	-1.12	-2.25	0.77	0.61	1.14	4.58e-32	5.05e-30	(A) Negative
MAST4	5q12.3	0.13	1.32	0.79	0.73	-1.18	4.85e-32	5.31e-30	(B) Positive
BUB1	2q13	-1.56	-2.93	0.91	0.99	1.37	5.88e-32	6.39e-30	(A) Negative
CXXC5	5q31.2	-0.66	0.87	1.03	0.76	-1.52	6.12e-32	6.62e-30	(B) Positive
RMND1	6q25.1	-0.48	0.58	0.65	1.10	-1.06	6.43e-32	6.91e-30	(B) Positive
RARRES1	3q25.32	5.17	3.05	1.42	1.47	2.12	7.44e-32	7.94e-30	(A) Negative
PRKY	Yp11.2	0.64	-0.71	0.91	0.80	1.35	8.35e-32	8.86e-30	(A) Negative
NUDT12	5q21.2	-0.43	0.95	0.93	0.83	-1.38	1.01e-31	1.06e-29	(B) Positive
NCS1	9q34.11	0.08	-0.82	0.61	0.57	0.90	1.01e-31	1.06e-29	(A) Negative
BBS4	15q24.1	-0.90	0.00	0.61	0.55	-0.90	1.58e-31	1.65e-29	(B) Positive
DESI2	1q44	0.81	0.01	0.54	0.51	0.80	1.66e-31	1.72e-29	(A) Negative
CIB3	19p13.11	0.06	1.28	0.81	0.99	-1.22	1.88e-31	1.94e-29	(B) Positive
TCEAL5	Xq22.1	0.44	1.57	0.75	0.91	-1.13	1.93e-31	1.98e-29	(B) Positive
EGFR	7p11.2	0.20	-1.91	1.45	1.18	2.11	2.65e-31	2.69e-29	(A) Negative
BCAS1	20q13.2	-1.75	0.54	1.56	1.47	-2.29	3.20e-31	3.24e-29	(B) Positive
CCDC96	4p16.1	0.80	1.59	0.54	0.51	-0.79	3.29e-31	3.31e-29	(B) Positive
AKR1E2	10p15.1	1.09	-0.47	1.07	0.89	1.56	3.50e-31	3.50e-29	(A) Negative
ATP5MC2	12q13.13	-0.42	0.18	0.42	0.32	-0.61	3.72e-31	3.70e-29	(B) Positive
ADCY5	3q21.1	-0.36	0.80	0.75	1.12	-1.17	3.85e-31	3.81e-29	(B) Positive
SPMIP5	10q25.3	-1.84	0.77	1.67	2.53	-2.61	3.96e-31	3.89e-29	(B) Positive
PALS2	7p15.3	-1.88	-3.37	1.03	0.94	1.50	4.31e-31	4.21e-29	(A) Negative
UQCRH	1p33	-0.56	-1.37	0.55	0.45	0.80	4.72e-31	4.59e-29	(A) Negative
JRKL	11q21	0.71	-0.43	0.77	0.78	1.13	4.99e-31	4.82e-29	(A) Negative
PELI1	2p14	1.34	0.28	0.72	0.69	1.06	5.03e-31	4.83e-29	(A) Negative
STARD10	11q13.4	0.36	1.86	1.04	0.90	-1.50	5.50e-31	5.25e-29	(B) Positive
CNTD1	17q21.2-q21.31	0.77	2.42	1.13	1.12	-1.65	6.30e-31	5.98e-29	(B) Positive
CENPA	2p23.3	-0.73	-2.09	0.93	0.98	1.36	7.06e-31	6.67e-29	(A) Negative
RERG	12p12.3	0.54	2.84	1.59	1.23	-2.29	9.84e-31	9.24e-29	(B) Positive
RASAL1	12q24.13	0.67	-0.92	1.10	1.01	1.60	1.07e-30	1.00e-28	(A) Negative
UQCRHL	1p36.21	-0.64	-1.45	0.56	0.47	0.81	1.13e-30	1.05e-28	(A) Negative
TSPAN13	7p21.1	1.23	2.67	1.00	0.88	-1.44	1.35e-30	1.25e-28	(B) Positive
GSTP1	11q13.2	0.03	-1.52	1.05	1.26	1.55	1.41e-30	1.29e-28	(A) Negative
CENPW	6q22.32	0.02	-1.60	1.13	0.84	1.62	1.41e-30	1.29e-28	(A) Negative
NFIL3	9q22.31	0.23	-0.90	0.75	1.04	1.13	1.43e-30	1.31e-28	(A) Negative
REPS2	Xp22.2	0.74	2.12	0.91	1.27	-1.38	1.46e-30	1.32e-28	(B) Positive
KRT18	12q13.13	-1.42	0.06	1.03	0.84	-1.47	1.59e-30	1.43e-28	(B) Positive
BORCS7	10q24.32	0.38	1.36	0.68	0.63	-0.98	1.75e-30	1.57e-28	(B) Positive
TTLL4	2q35	0.39	-0.99	0.97	0.59	1.38	1.94e-30	1.73e-28	(A) Negative
H1-1	6p22.2	2.27	-0.10	1.66	1.06	2.37	2.01e-30	1.78e-28	(A) Negative
C3ORF18	3p21.31	-0.31	0.84	0.78	0.89	-1.14	2.18e-30	1.92e-28	(B) Positive
CIRBP	19p13.3	0.11	1.15	0.73	0.67	-1.04	2.47e-30	2.17e-28	(B) Positive
PIERCE1	9q34.3	-0.34	1.10	1.01	0.85	-1.44	2.68e-30	2.34e-28	(B) Positive
ELP2	18q12.2	-0.65	0.37	0.63	1.14	-1.02	2.84e-30	2.47e-28	(B) Positive
HPX	11p15.4	0.07	2.05	1.36	1.57	-1.97	2.96e-30	2.56e-28	(B) Positive
MRTFB	16p13.12	0.68	1.45	0.53	0.58	-0.77	3.64e-30	3.13e-28	(B) Positive
IZUMO4	19p13.3	-1.15	-0.35	0.53	0.80	-0.81	3.67e-30	3.14e-28	(B) Positive
BMERB1	16p13.11	-1.61	-0.06	1.06	1.26	-1.55	3.70e-30	3.15e-28	(B) Positive
FUT8	14q23.3	-0.46	0.79	0.88	0.85	-1.25	4.29e-30	3.63e-28	(B) Positive
KCNE4	2q36.1	-0.66	1.22	1.20	1.98	-1.88	4.47e-30	3.77e-28	(B) Positive
SOX11	2p25.2	1.63	-1.14	1.96	1.43	2.77	4.94e-30	4.14e-28	(A) Negative
BTG3	21q21.1	0.04	-1.37	0.99	0.92	1.40	5.13e-30	4.28e-28	(A) Negative
UCK2	1q24.1	0.12	-0.73	0.60	0.55	0.84	5.75e-30	4.78e-28	(A) Negative
CPEB2	4p15.32	-0.01	0.97	0.69	0.70	-0.98	5.97e-30	4.93e-28	(B) Positive
LRRC56	11p15.5	0.14	1.59	1.03	0.82	-1.45	6.09e-30	5.01e-28	(B) Positive
CDK2AP1	12q24.31	1.39	0.33	0.75	0.57	1.06	6.23e-30	5.10e-28	(A) Negative
ZNF703	8p11.23	0.50	1.26	0.52	0.64	-0.75	6.60e-30	5.38e-28	(B) Positive
ADGRB2	1p35.2	-0.48	0.89	0.95	1.09	-1.37	6.71e-30	5.44e-28	(B) Positive
ZNF396	18q12.2	0.93	1.91	0.68	0.80	-0.98	6.84e-30	5.52e-28	(B) Positive
CDH3	16q22.1	2.44	0.50	1.35	1.49	1.94	6.94e-30	5.57e-28	(A) Negative
TAPT1	4p15.32	0.02	0.90	0.62	0.63	-0.88	7.30e-30	5.84e-28	(B) Positive
HPDL	1p34.1	-0.78	-2.69	1.36	1.07	1.91	8.01e-30	6.37e-28	(A) Negative
SYBU	8q23.2	-0.12	2.07	1.56	1.32	-2.19	8.63e-30	6.83e-28	(B) Positive
ZFYVE16	5q14.1	-0.55	0.09	0.46	0.43	-0.65	1.09e-29	8.57e-28	(B) Positive
TFF3	21q22.3	-0.59	2.38	2.13	1.40	-2.97	1.19e-29	9.35e-28	(B) Positive
C21ORF91	21q21.1	0.64	-0.44	0.77	0.66	1.08	1.28e-29	9.97e-28	(A) Negative
CYB5R1	1q32.1	0.85	1.79	0.67	0.62	-0.94	1.34e-29	1.04e-27	(B) Positive
AKR7A3	1p36.13	0.15	1.44	0.91	1.00	-1.29	1.42e-29	1.10e-27	(B) Positive
ZNF205-AS1	16p13.3	0.11	1.46	0.96	0.89	-1.35	1.47e-29	1.14e-27	(B) Positive
CCNE1	19q12	-0.22	-1.82	1.15	0.84	1.60	1.53e-29	1.17e-27	(A) Negative
E2F3	6p22.3	0.26	-0.61	0.62	0.53	0.87	1.76e-29	1.34e-27	(A) Negative
HSPA12A	10q25.3	-0.26	1.18	1.01	1.19	-1.45	1.77e-29	1.34e-27	(B) Positive
SPATA4	4q34.2	-0.02	1.52	1.04	1.49	-1.55	1.80e-29	1.36e-27	(B) Positive
SLC22A5	5q31.1	-0.08	1.35	1.03	0.78	-1.43	1.89e-29	1.43e-27	(B) Positive
HDAC11	3p25.1	0.41	1.38	0.69	0.67	-0.97	2.51e-29	1.89e-27	(B) Positive
MICAL3	22q11.21	0.10	-0.61	0.51	0.49	0.72	2.84e-29	2.12e-27	(A) Negative
PRR15	7p14.3	0.11	2.37	1.64	1.09	-2.26	2.98e-29	2.22e-27	(B) Positive
DNAI7	12p12.1	1.51	3.23	1.23	1.19	-1.72	3.14e-29	2.33e-27	(B) Positive
DCTN4	5q33.1	0.04	0.70	0.47	0.44	-0.66	3.27e-29	2.41e-27	(B) Positive
RNASE4	14q11.2	-0.64	0.70	0.95	1.01	-1.33	3.57e-29	2.63e-27	(B) Positive
AGO2	8q24.3	0.40	-0.63	0.73	0.77	1.03	3.93e-29	2.87e-27	(A) Negative
TRIM2	4q31.3	0.99	-0.85	1.33	1.08	1.84	4.21e-29	3.07e-27	(A) Negative
MELK	9p13.2	-0.66	-2.03	0.98	1.04	1.37	4.33e-29	3.14e-27	(A) Negative
HTR7	10q23.31	-1.21	-0.41	0.50	0.94	-0.80	4.57e-29	3.29e-27	(B) Positive
ELOVL2	6p24.2	-1.89	-0.24	1.10	1.73	-1.66	4.57e-29	3.29e-27	(B) Positive
BAIAP3	16p13.3	-1.08	0.37	1.01	1.26	-1.45	4.73e-29	3.39e-27	(B) Positive
SLC44A4	6p21.33	0.17	3.28	2.27	1.29	-3.11	5.17e-29	3.69e-27	(B) Positive
UGDH	4p14	-1.17	-0.02	0.79	1.04	-1.14	5.60e-29	3.98e-27	(B) Positive
SIRT3	11p15.5	-0.13	0.53	0.46	0.51	-0.65	5.87e-29	4.15e-27	(B) Positive
WDR19	4p14	-0.17	0.47	0.46	0.48	-0.64	6.06e-29	4.27e-27	(B) Positive
PSME4	2p16.2	0.93	0.03	0.65	0.59	0.90	6.35e-29	4.46e-27	(A) Negative
BBOX1	11p14.2	5.54	3.15	1.68	2.06	2.39	6.85e-29	4.79e-27	(A) Negative
CDCA8	1p34.3	-0.82	-1.93	0.80	0.78	1.11	7.03e-29	4.87e-27	(A) Negative
F7	13q34	-0.65	0.27	0.64	0.86	-0.92	7.03e-29	4.87e-27	(B) Positive
BBOF1	14q24.3	0.82	1.94	0.81	0.84	-1.12	7.25e-29	5.01e-27	(B) Positive
DEPDC1	1p31.3	-0.91	-2.16	0.89	1.00	1.25	7.36e-29	5.06e-27	(A) Negative
FOXA1	14q21.1	-1.03	3.07	3.00	1.43	-4.10	7.94e-29	5.44e-27	(B) Positive
DAZAP2	12q13.13	0.47	1.21	0.54	0.44	-0.74	8.32e-29	5.68e-27	(B) Positive
ZNF695	1q44	-0.40	-1.97	1.14	1.06	1.57	9.34e-29	6.34e-27	(A) Negative
MCM10	10p13	-0.86	-2.34	1.07	1.07	1.48	9.42e-29	6.38e-27	(A) Negative
CCNH	5q14.3	-1.10	-0.42	0.49	0.47	-0.68	1.12e-28	7.57e-27	(B) Positive
